Wavelength	Function
359,39130447243474	0
361,7391305905434	0
364,0869567086521	0
366,4347828267608	0
368,7826089448695	0
371,1304350629781	0
373,4782611810868	0
375,8260872991955	0
378,17391341730416	0
380,52173953541285	0
382,86956565352153	0
385,2173917716302	0
387,5652178897389	0
389,9130440078476	0
392,2608701259563	0
394,60869624406496	0
396,95652236217364	0
399,30434848028233	0
401,652174598391	0
404,0000007164997	0
406,3478268346083	0
408,69565295271707	0
411,0434790708257	0
413,3913051889344	0
415,73913130704307	0
418,08695742515175	0
420,43478354326044	0
422,7826096613691	0
425,1304357794778	0
427,4782618975865	0
429,8260880156952	0
432,17391413380386	0
434,52174025191255	0
436,86956637002123	0
439,2173924881299	0
441,56521860623855	0
443,9130447243473	0
446,2608708424559	0
448,60869696056466	0
450,9565230786733	0
453,30434919678197	0
455,65217531489066	0
458,00000143299934	0
460,347827551108	0
462,69567158170844	0
465,0434976998171	0
467,3913238179258	0
469,7391499360345	0,0030029570776120753
472,0869760541432	0,006006051621787557
474,43480217225186	0,009009008699399633
476,78262829036055	0,01501506032118719
479,9130511728443	0,021020974476411342
482,260877290953	0,027027026098198896
484,60870340906166	0,03303307771998645
487,7391262915454	0,045045043496998165
490,0869524096541	0,06006010381818535
492,4347785277628	0,07807812121698461
494,00000788149634	0,0930930440716084
495,56523723523003	0,11111106147040767
496,3478339996051	0,12312316471398278
497,91306335333866	0,14114118211278204
498,6956601177137	0,1591591995115813
499,4782568820888	0,17717721691038057
501,04348623582246	0,19819819138679193
501,8260830001975	0,21921916586320325
502,608715589556	0,24024027780617802
503,3913123539311	0,26126125228258934
504,17390911830614	0,2852853213031762
504,9565417076647	0,3093093215904813
505,7391384720398	0,3333333218777864
506,5217352364149	0,3513513392765857
507,3043678257734	0,3783783653747846
508,08696459014845	0,4054053914729835
509,6521939438821	0,46246246948027503
510,43479070825714	0,5375375648863658
511,21738747263225	0,5765765567615765
512,0000200619908	0,6036035828597753
513,5652135907409	0,6636636866779607
514,3478461800994	0,7177177388743585
515,1304429444745	0,7507507478610633
516,6956722982081	0,8198197916453666
517,4782690625832	0,8738738782084052
518,2608658269583	0,9009009043066041
519,0434984163169	0,9249249389605501
519,8260951806919	0,9489489392478552
520,608691945067	0,9639639652024016
521,3913245344255	0,9759759653460541
522,1739212988006	0,9849849740454537
522,9565180631756	0,9939939827448534
523,7391506525341	1
524,5217474169092	0,9969970085557471
525,3043441812843	0,9909909913006004
526,0869767706429	0,9789789911569479
526,8695735350179	0,9549549565030019
527,652170299393	0,9399399305484556
528,4348028887515	0,9189189217054033
529,2173996531266	0,8948948870514574
529,9999964175017	0,8678678609532585
530,7826290068602	0,8348348519665537
531,5652257712353	0,783783756847768
532,3478225356104	0,7507507478610633
533,1304551249689	0,7207206959519706
533,9130518893439	0,6876876869652658
534,695648653719	0,6546546779785611
535,4782812430776	0,6216216002585746
536,2608780074527	0,5945945741603758
537,0434747718277	0,5675675480621769
537,8261073611862	0,5465465735857655
538,6087041255613	0,5285285561869663
539,3913008899364	0,510510538788167
540,1739334792949	0,48948949557847393
540,95653024367	0,47147147817967466
541,7391270080451	0,4534534607808754
542,5217595974036	0,4294294604935703
543,3043563617787	0,411411443094771
544,0869531261537	0,39339342569597174
544,8695857155124	0,3753754082971725
545,6521824798874	0,3573573908983732
546,4347792442625	0,34234233057718605
547,217411833621	0,3303303648001743
548,000008597996	0,31831833028988094
548,7826053623711	0,3063062957795875
549,5652379517296	0,29129130419168203
550,3478347161047	0,27627631260377655
551,1304314804797	0,2582582952049773
551,9130640698384	0,24324323488379007
552,6956608342134	0,2282281745626029
553,4782575985885	0,21621620878559117
554,2608901879471	0,20420424300857948
555,0434869523222	0,19519523430917984
555,8260837166972	0,1861862256097802
556,6087163060557	0,17717721691038057
557,3913130704308	0,16816820821098094
558,1739098348058	0,1591591995115813
558,9565424241644	0,15315314788979376
559,7391391885394	0,14414413919039412
560,5217359529145	0,1351351304909945
561,3043685422731	0,12612612179159485
562,0869653066482	0,1201200701698073
562,8695620710232	0,11411415601458315
563,6521946603817	0,10810810439279558
564,4347914247568	0,10210205277100803
565,217388189132	0,09609613861578388
566,7826175428655	0,09009008699399633
567,5652143072406	0,08408403537220877
568,3478468965991	0,0810810782945967
569,1304436609742	0,07807812121698461
569,9130404253492	0,07507502667280913
570,6956730147078	0,06906911251758499
571,4782697790829	0,06606601797340951
572,260866543458	0,06306306089579743
573,8260958971915	0,05705700927400987
574,6086926615666	0,05405405219639779
575,3913252509252	0,05105109511878572
576,1739220153003	0,04804800057461024
576,9565187796753	0,045045043496998165
577,7391513690338	0,04204208641938609
578,5217481334089	0,03903899187521061
579,304344897784	0,03603603479759853
582,4348036052512	0,030029983175810973
583,9999971340013	0,027027026098198896
584,7826297233598	0,027027026098198896
585,5652264877349	0,024024069020586823
586,3478232521101	0,024024069020586823
587,1304558414686	0,021020974476411342
587,9130526058436	0,021020974476411342
588,6956493702187	0,018018017398799265
590,2608787239524	0,018018017398799265
592,608704842061	0,01501506032118719
594,9565309601696	0,012011965777011708
597,3043570782784	0,009009008699399633
599,6521831963871	0,006006051621787557
602,0000093144957	0,0030029570776120753
604,3478354326044	0,0030029570776120753
606,6956615507131	0
609,0434876688219	0
611,3913137869304	0
613,7391399050391	0
616,0869660231479	0
618,4347921412565	0
620,7826182593651	0
623,1304443774739	0
625,4782704955826	0
627,8260966136912	0
630,1739227317998	0
632,5217488499086	0
634,8695749680173	0
637,217401086126	0
639,5652272042346	0
641,9130533223433	0
644,2608794404521	0
646,6087055585607	0
648,9565316766693	0
651,3043577947781	0
653,6521839128867	0
656,0000100309953	0
658,3478361491041	0
660,6956622672128	0
663,0434883853214	0
665,3913145034301	0
667,7391406215388	0
670,0869667396476	0
672,4347928577562	0
674,7826189758648	0
677,1304450939735	0
679,4782712120823	0
681,8260973301909	0
684,1739234482995	0
686,5217495664083	0
688,8695756845169	0
691,2174018026255	0
693,5652279207343	0
695,913054038843	0
698,2608801569517	0
700,6087062750603	0
702,956532393169	0
705,3043585112778	0
707,6521846293864	0
710,000010747495	0
712,3478368656038	0
714,6956629837125	0
717,0434891018211	0
719,3913152199298	0
721,7391413380385	0
724,0869674561471	0
726,4347935742558	0
728,7826196923645	0
731,1304458104732	0
733,4782719285819	0
735,8260980466905	0
738,1739241647992	0
740,521750282908	0
742,8695764010166	0
745,2174025191252	0
747,565228637234	0
749,9130547553427	0
752,2608808734514	0
754,60870699156	0
756,9565331096687	0
759,3043592277775	0
761,652185345886	0
764,0000472889783	0
766,3478734070869	0
768,6956995251956	0
771,0435256433043	0
773,391351761413	0
775,7391778795217	0
778,0870039976303	0
779,6521975263804	0
