360,21288734828033,0,2316598558460791
366,4985744547351,0,2316598558460791
373,8318731482879,0,2316598558460791
380,64138363215807,0,2316598558460791
386,9270707386128,0,2316598558460791
393,7365636386166,0,2918929718907191
400,1280409731114,0,2316598558460791
405,8898847631242,0,2316598558460791
410,4993597951344,0,2316598558460791
415,1088348271447,0,2316598558460791
420,1792635166691,0,"2,22679766886484E+016"
425,71063707183174,0,7349655729094167
430,320112103842,0,"2,33852496922414E+016"
434,9295871358522,0,"5,01113075987002E+016"
437,2343246518573,0,7683736550515903
439,7810411441034,0,"1,01781713405006E+016"
440,46094310726306,0,1285077713114647
441,8437996838676,0,1552338292179235
442,76568062326817,0,1819598871243823
443,6875791464206,0,"2,12249433011945E+016"
444,1485371998727,0,"2,40757200925016E+016"
445,9923166624257,0,2977728047190371
446,4532747158778,0,3244988626254959
447,8361137087305,0,"3,77950978438413E+016"
448,2970541784308,0,"4,0289529235432E+016"
448,75801223188296,0,4278396402541672
449,21895270158325,0,4527839541700741
449,67989317128354,0,"4,77728268085981E+016"
450,1408512247357,0,5026725820018878
451,6274974788806,0,5293986505283279
451,5236902175884,0,5561247084347867
451,9846306872887,0,61492205621936
452,4455887407408,0,6434298241324308
452,9065292104411,0,6719376260294415
453,36748726389317,0,7004454279264521
454,2893682032938,0,727171485832911
454,7503262567459,0,7788418576552767
455,67222477989833,0,8037861715711836
456,1331652495986,0,8322939904601643
457,5506377275105,0,859020048366623
457,51600424245134,0,8857460956531006
457,97696229590343,0,"9,12472153559559E+015"
458,4379027656037,0,"9,39198211466018E+015"
459,35980128875616,0,965924269372477
463,47377797614,0,"9,94432071269488E+015"
460,74264028160883,0,98730511229925
463,9692763207664,0,"9,76614699331848E+015"
464,8911748439188,0,"9,35634740476884E+015"
465,81305578331944,0,"9,10690426560977E+015"
466,27401383677153,0,8821826076719967
466,7349543064718,0,855456549765538
467,1959123599239,0,8269487818524672
467,6568528296242,0,8002227239460085
468,11779329932455,0,7717149220489977
468,57875135277664,0,743207120151987
469,396918224769,0,7146993182549763
469,50064987592907,0,6861915163579656
469,96159034562936,0,654120260463791
470,42253081532965,0,6256124585667803
470,88348886878174,0,5988864006603215
471,8053873919342,0,545434284847404
472,26632786163447,0,5169265169343332
472,72726833133476,0,4919821690344863
473,18822638478684,0,"4,65256111128028E+016"
474,1101249079393,0,4367483432149568
474,57106537763957,0,"4,08240507334006E+016"
475,3200584733986,0,3815144494275473
476,41486242394444,0,"3,54788408513059E+016"
477,336743363345,0,3280623506065997
478,25864188649746,0,"3,01336292700141E+016"
479,18054040964984,0,"2,74610234793682E+016"
480,1024389328022,0,"2,47884176887223E+016"
481,48527792565494,0,"2,21158118980765E+016"
482,86811691850767,0,1926502830998138
483,7900154416601,0,"1,67706003167847E+016"
485,63381248796486,0,"1,40979945261388E+016"
487,93855000397,0,"1,14253887354929E+016"
490,2432875199751,0,8752782944847055
493,46990597538087,0,6258348154862367
497,61844053769084,0,"4,12026216298806E+016"
502,22791556970105,0,"2,51670276667334E+016"
508,68118764801613,0,"1,26948537168099E+016"
516,563406657318,0,5567877754602241
522,486546905947,0,5567877754602241
528,409687154577,0,5567877754602241
534,333003240725,0,5567877754602241
540,4865548186357,0,"3,78616774799033E+016"
547,400767366651,0,"3,78616774799033E+016"
554,3149799146664,0,"2,00445774137841E+016"
561,6901329323821,0,"2,00445774137841E+016"
569,653211176013,0,"2,00445774137841E+016"
575,5185580284128,0,"2,00445774137841E+016"
581,9718301067279,0,"2,00445774137841E+016"
588,8860426547433,0,"2,00445774137841E+016"
595,8002552027586,0,"2,00445774137841E+016"
602,714467750774,0,"2,00445774137841E+016"
609,6286802987893,0,"2,00445774137841E+016"
615,6210119074042,0,"2,00445774137841E+016"
622,742839857191,0,"2,00445774137841E+016"
628,665804268303,0,"2,00445774137841E+016"
634,5198525051453,0,"2,00445774137841E+016"
640,9731245834605,0,"2,00445774137841E+016"
647,8873371314758,0,"2,00445774137841E+016"
654,340609209791,0,"2,00445774137841E+016"
660,332905650902,0,"2,00445774137841E+016"
666,7861777292171,0,"2,00445774137841E+016"
672,7785093378318,0,"2,00445774137841E+016"
679,6927218858473,0,"2,00445774137841E+016"
686,6069344338625,0,"2,00445774137841E+016"
693,521146981878,0,"2,00445774137841E+016"
700,8962999995936,0,"2,00445774137841E+016"
707,810512547609,0,"2,00445774137841E+016"
715,3542704065067,0,2316598558460791
722,1637984742431,0,4341304145030863
728,4494679968316,0,4341304145030863
735,7827842742506,0,6366009731600808
749,4017700742584,0,6366009731600808
743,1160653839372,0,4341304145030863
756,2112629742621,0,6366009731600808
762,4969676645832,0,6366009731600808
768,7826371871715,0,6366009731600808
775,683418774927,0,6366009731600808
780,306399812983,0,6366009731600808
